Name1,Manufacturer,Model,Model_Year,Transmission,KM_Done,Price,Time,Rating
Ford Expedition 2014,Ford ,Expedition ,2014.0,Automatic,92618.0,59999," Apr 07, 2021",5
Ford Edge 2013,Ford ,Edge ,2013.0,Automatic,18815.0,51729," Apr 07, 2021",10
Ford Expedition 2016,Ford ,Expedition ,2016.0,Automatic,68281.0,90999," Apr 07, 2021",1
Ford Taurus 2015,Ford ,Taurus ,2015.0,Automatic,35000.0,94500," Apr 07, 2021",1
Lincoln Continental 2017,Lincoln ,Continental ,2017.0,Automatic,10300.0,259999," Apr 07, 2021",1
Ford Fusion 2016,Ford ,Fusion ,2016.0,Automatic,17110.0,48999," Apr 07, 2021",10
Ford Fusion 2016,Ford ,Fusion ,2016.0,Automatic,14505.0,44999," Apr 07, 2021",10
Ford Focus 2013,Ford ,Focus ,2013.0,Automatic,48854.0,20000," Apr 07, 2021",10
Ford Focus 2016,Ford ,Focus ,2016.0,Automatic,27202.0,44999," Apr 07, 2021",10
Ford Expedition 2016,Ford ,Expedition ,2016.0,Automatic,6214.0,102999," Apr 07, 2021",1
Toyota Camry 2015,Toyota ,Camry ,2015.0,Automatic,50287.0,51450," Apr 07, 2021",10
Ford Expedition 2016,Ford ,Expedition ,2016.0,Automatic,13333.0,94999," Apr 07, 2021",1
Lincoln Navigator 2012,Lincoln ,Navigator ,2012.0,Automatic,102500.0,84000," Apr 07, 2021",1
Ford Taurus 2016,Ford ,Taurus ,2016.0,Automatic,26900.0,73000," Apr 07, 2021",5
Ford Flex 2016,Ford ,Flex ,2016.0,Automatic,2700.0,93450," Apr 07, 2021",5
Ford Ranger 2011,Ford ,Ranger ,2011.0,Manual,8184.0,24999," Apr 07, 2021",10
Ford Expedition 2013,Ford ,Expedition ,2013.0,Automatic,155766.0,54999," Apr 07, 2021",1
Ford Mustang 2017,Ford ,Mustang ,2017.0,Automatic,7796.0,156000," Apr 07, 2021",1
Ford Expedition 2017,Ford ,Expedition ,2017.0,Automatic,1218.0,142999," Apr 07, 2021",1
Ford Edge 2017,Ford ,Edge ,2017.0,Automatic,1130.0,100500," Apr 07, 2021",1
Ford Ranger 2011,Ford ,Ranger ,2011.0,Manual,90033.0,22999," Apr 07, 2021",10
Ford Expedition 2015,Ford ,Expedition ,2015.0,Automatic,92823.0,73499," Apr 07, 2021",1
Ford Expedition 2013,Ford ,Expedition ,2013.0,Automatic,92409.0,54999," Apr 07, 2021",5
Lincoln MKX 2016,Lincoln ,MKX ,2016.0,Automatic,35667.0,167999," Apr 07, 2021",1
Ford Expedition 2017,Ford ,Expedition ,2017.0,Automatic,2129.0,155999," Apr 07, 2021",1
Ford Mustang 2017,Ford ,Mustang ,2017.0,Automatic,15878.0,189000," Apr 07, 2021",1
Ford Edge 2017,Ford ,Edge ,2017.0,Automatic,1682.0,134999," Apr 07, 2021",1
Ford Edge 2017,Ford ,Edge ,2017.0,Automatic,2774.0,134999," Apr 07, 2021",1
Ford Taurus 2017,Ford ,Taurus ,2017.0,Automatic,22114.0,99999," Apr 07, 2021",1
Ford Edge 2017,Ford ,Edge ,2017.0,Automatic,4422.0,134999," Apr 07, 2021",1
Ford Taurus 2017,Ford ,Taurus ,2017.0,Automatic,7000.0,142800," Apr 07, 2021",1
Ford Expedition 2017,Ford ,Expedition ,2017.0,Automatic,16834.0,149999," Apr 07, 2021",1
