Name1,Manufacturer,Model,Model_Year,Transmission,KM_Done,Price,Time
Ford Focus 2016,Ford ,Focus ,2016,Automatic,"2,218",37800," Apr 08, 2021"
Ford Expedition 2012,Ford ,Expedition ,2012,Automatic,"116,963",52498," Apr 08, 2021"
Ford Taurus 2015,Ford ,Taurus ,2015,Automatic,"29,900",56000," Apr 08, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Lincoln MKT 2013,Lincoln ,MKT ,2013,Automatic,"72,339",72449," Apr 08, 2021"
Ford Taurus 2016,Ford ,Taurus ,2016,Automatic,"15,276",64999," Apr 08, 2021"
Ford Expedition 2012,Ford ,Expedition ,2012,Automatic,"96,338",49999," Apr 08, 2021"
Ford Expedition 2012,Ford ,Expedition ,2012,Automatic,"90,660",52498," Apr 08, 2021"
Ford Escape 2015,Ford ,Escape ,2015,Automatic,"66,325",53549," Apr 08, 2021"
Ford Fusion 2015,Ford ,Fusion ,2015,Automatic,"115,250",45000," Apr 08, 2021"
Lincoln MKT 2015,Lincoln ,MKT ,2015,Automatic,"68,317",99999," Apr 08, 2021"
Ford Edge 2013,Ford ,Edge ,2013,Automatic,"132,239",41999," Apr 08, 2021"
Lincoln MKS 2014,Lincoln ,MKS ,2014,Automatic,"21,667",93450," Apr 08, 2021"
Ford Fusion 2015,Ford ,Fusion ,2015,Automatic,"10,666",52500," Apr 08, 2021"
Ford Focus 2016,Ford ,Focus ,2016,Automatic,"28,000",37800," Apr 08, 2021"
Toyota Camry 2007,Toyota ,Camry ,2007,Manual,"269,000",14000," Apr 08, 2021"
Jetour X70  1.5T S 2020,Jetour ,,2020,Automatic,"23,000",65000," Apr 08, 2021"
Toyota Camry 2007,Toyota ,Camry ,2007,Manual,"269,000",14000," Apr 07, 2021"
Mini Cooper 2021,Mini ,Cooper ,2021,NA,,108000," Apr 07, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Ford Expedition 2012,Ford ,Expedition ,2012,Automatic,"112,000",52500," Apr 07, 2021"
Ford Figo 2016,Ford ,Figo ,2016,Automatic,"51,553",20999," Apr 07, 2021"
Ford Focus 2012,Ford ,Focus ,2012,Automatic,"125,041",16999," Apr 07, 2021"
Ford Figo 2016,Ford ,Figo ,2016,Automatic,"61,105",20999," Apr 07, 2021"
Ford Figo 2016,Ford ,Figo ,2016,Automatic,"33,643",20999," Apr 07, 2021"
Ford Taurus 2015,Ford ,Taurus ,2015,Automatic,"80,040",58999," Apr 07, 2021"
Ford Taurus 2017,Ford ,Taurus ,2017,Automatic,"5,318",95000," Apr 07, 2021"
Ford Taurus 2013,Ford ,Taurus ,2013,Automatic,"167,219",39000," Apr 07, 2021"
Ford Taurus 2014,Ford ,Taurus ,2014,Automatic,"99,421",48000," Apr 07, 2021"
Ford Taurus 2016,Ford ,Taurus ,2016,Automatic,"55,012",70000," Apr 07, 2021"
Ford Figo 2016,Ford ,Figo ,2016,Automatic,"23,172",20999," Apr 07, 2021"
Ford Fusion 2017,Ford ,Fusion ,2017,Automatic,"36,900",64999," Apr 07, 2021"
Ford Escape 2015,Ford ,Escape ,2015,Automatic,"66,323",44999," Apr 07, 2021"
Ford Figo 2016,Ford ,Figo ,2016,Automatic,"31,038",20999," Apr 07, 2021"
Ford Figo 2016,Ford ,Figo ,2016,Automatic,"20,190",20999," Apr 07, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Ford Taurus 2013,Ford ,Taurus ,2013,Automatic,"191,302",33999," Apr 07, 2021"
Ford Figo 2016,Ford ,Figo ,2016,Automatic,"26,993",20999," Apr 07, 2021"
Ford Figo 2016,Ford ,Figo ,2016,Automatic,"20,221",20999," Apr 07, 2021"
Ford Explorer 2012,Ford ,Explorer ,2012,Automatic,"136,586",44999," Apr 07, 2021"
Ford Explorer 2014,Ford ,Explorer ,2014,Automatic,"53,035",62999," Apr 07, 2021"
Lincoln MKS 2015,Lincoln ,MKS ,2015,Automatic,"22,456",79999," Apr 07, 2021"
Lincoln Continental 2017,Lincoln ,Continental ,2017,Automatic,,235999," Apr 07, 2021"
Ford Taurus 2013,Ford ,Taurus ,2013,Automatic,"147,600",39999," Apr 07, 2021"
Ford Edge 2013,Ford ,Edge ,2013,Automatic,"145,150",55999," Apr 07, 2021"
Ford Expedition 2013,Ford ,Expedition ,2013,Automatic,"105,100",53999," Apr 07, 2021"
Ford Explorer 2013,Ford ,Explorer ,2013,Automatic,"89,000",54999," Apr 07, 2021"
Ford Edge 2013,Ford ,Edge ,2013,Automatic,"157,000",43999," Apr 07, 2021"
Ford Focus 2014,Ford ,Focus ,2014,Automatic,"93,700",24999," Apr 07, 2021"
Ford EcoSport 2014,Ford ,EcoSport ,2014,Automatic,"186,000",23000," Apr 07, 2021"
Ford Expedition 2017,Ford ,Expedition ,2017,Automatic,,124999," Apr 07, 2021"
nan,,,,nan,,0,nan
nan,,,,nan,,0,nan
Ford Ranger 2016,Ford ,Ranger ,2016,Manual,"43,961",54999," Apr 07, 2021"
Ford Expedition 2017,Ford ,Expedition ,2017,Automatic,,139999," Apr 07, 2021"
Ford Explorer 2016,Ford ,Explorer ,2016,Automatic,"18,900",129999," Apr 07, 2021"
Ford Explorer 2013,Ford ,Explorer ,2013,Automatic,"132,368",54999," Apr 07, 2021"
Toyota Corolla 2016,Toyota ,Corolla ,2016,Automatic,"43,814",49999," Apr 07, 2021"
Toyota Corolla 2016,Toyota ,Corolla ,2016,Automatic,"18,652",50000," Apr 07, 2021"
Ford Explorer 2017,Ford ,Explorer ,2017,Automatic,,135999," Apr 07, 2021"
